FUMAROLE,DATE,TEMP,H2O,CO2,H2S,N2,CH4,H2,CO
BG,12/06/1983,,840700,157100,1663,303,23.9,245,
BG,14/07/1983,,839000,158700,1739,,,,
BG,18/08/1983,157,844000,154000,1730,343,28.2,240,0.551
BG,11/09/1983,157,840000,158000,1810,336,26.7,258,0.64
BG,04/10/1983,157,844000,153700,1700,343,25,240,
BG,11/10/1983,,845000,153000,1779,326,26.2,226,0.339
BG,13/10/1983,156,828000,169000,1930,378,27.2,241,0.38
BG,14/10/1983,157,820800,176300,2041,,,,
BG,26/10/1983,,843800,153700,1751,317,25,216,
BG,03/11/1983,,836300,161100,1992,337,26.1,233,
BG,14/11/1983,,845000,153000,1880,310,25,219,0.391
BG,30/11/1983,156,846000,151900,1880,323,25.1,216,0.31
BG,06/12/1983,,851000,146600,1788,355,27.4,230,
BG,20/12/1983,,853000,144800,1705,327,23.2,215,
BG,11/01/1984,,847000,150500,1714,329,22.9,222,
BG,17/01/1984,157,851000,147000,1789,313,21.8,212,0.221
BG,26/01/1984,,846000,151700,1817,323,22.8,214,
BG,02/02/1984,,851000,146600,1667,334,22.5,207,
BG,03/02/1984,,850000,147700,1672,305,21.6,210,
BG,18/02/1984,,851000,146600,1818,340,21.3,206,
BG,21/02/1984,157,851000,147000,1760,328,16.7,198,0.221
BG,08/03/1984,,851000,146600,1667,322,21.5,221,
BG,15/03/1984,,848000,149700,1809,310,20.4,196,
BG,20/03/1984,,850000,147700,1770,293,17,181,
BG,23/03/1984,,857000,140900,1602,350,19,190,
BG,01/04/1984,,840000,157800,1664,310,18.7,194,
BG,03/04/1984,158,841000,156900,1700,318,18.8,192,0.27
BG,05/04/1984,,844000,153700,1774,333,16.9,187,
BG,09/04/1984,,848000,149900,1657,333,16.4,181,
BG,17/04/1984,,838000,159600,1863,356,16.4,186,
BG,26/04/1984,,843000,154600,1805,366,15.1,181,
BG,05/05/1984,,842000,155800,1659,347,14.1,175,
BG,10/05/1984,157,839000,159000,1800,370,11.9,170,0.259
BG,11/07/1984,,840000,167800,1562,437,10.5,163,
BG,20/09/1984,157,816000,181900,1210,699,10.7,158,0.201
BG,24/10/1984,157,811000,186900,1150,794,10.6,146,0.261
BG,24/10/1984,157,804000,194000,1200,843,10.6,149,0.29
BG,27/11/1984,156,805000,192900,1150,819,10.1,150,0.201
BG,24/01/1985,156,800000,198000,960,860,10.2,153,0.28
BG,13/03/1985,,785000,212800,1163,907,9.7,169,
BG,18/04/1985,157,786000,212000,1160,877,12.8,186,0.471
BG,02/06/1985,157,778000,220000,1090,977,13.8,201,0.491
BG,19/07/1985,,784000,213600,1080,1013,13.4,188,
BG,07/09/1985,157,777000,220900,1160,1050,13.4,218,0.62
BG,26/09/1985,157,777000,220500,1115,1010,16.3,218,
BG,22/11/1985,157,775000,222500,1127,1037,16.3,205,0.4
BG,18/12/1985,157,765000,232600,1135,1072,18.3,237,0.38
BG,26/02/1986,162,797400,200600,1037,,,,
BG,14/03/1986,162,785200,212600,1129,,,,
BG,24/04/1986,162,792100,205800,1102,,,,
BG,15/11/1986,162,793700,204200,1122,,,,
BG,24/04/1987,162,797100,200800,1132,,,,
BG,23/10/1987,162,812900,184800,1201,840,31,240,
BG,10/01/1988,162,807800,189800,1280,810,30,260,
BG,31/01/1988,162,812400,184400,1181,807,30,262,
BG,01/02/1988,162,813500,184200,1204,692,26,223,
BG,23/03/1988,162,811800,186100,1129,,,,
BG,05/11/1988,162,812200,185600,1195,,,,
BG,06/01/1989,162,823700,174200,1110,710,15.1,263,
BG,15/06/1989,162,813400,184300,1138,836,18.7,294,0.789
BG,29/06/1989,162,813400,184300,1138,836,18.7,294,0.564
BG,15/07/1989,162,810800,186800,1135,836,17.3,294,0.575
BG,09/11/1990,,790000,207800,1130,761,20,274,0.756
BG,15/03/1991,,794400,203200,1149,743,22,307,
BG,25/05/1991,,793800,203800,1202,775,20,308,0.48
BG,21/10/1991,,806700,191000,1204,731,24,298,0.57
