FUMAROLE,DATE,TEMP,H2O,CO2,H2S,N2,CH4,H2,CO
BN,09/03/1995,,828300,169900,883,547,5.4,272,0.410
BN,22/04/1995,146.0,826300,172000,818,,,,
BN,28/04/1995,,821300,176900,846,587,5.3,263,0.170
BN,26/05/1995,,810100,188100,869,609,7.7,255,0.300
BN,16/12/1997,,819300,178500,1040,663,22.8,374,
BN,27/01/1998,149.0,821700,176000,1080,669,23.4,381,
BN,28/05/1998,150.0,822900,175000,1090,595,25.7,393,0.664
BN,23/06/1998,154.3,827600,170300,1039,614,24.0,379,0.686
BN,29/07/1998,153.5,828600,169200,1090,597,26.9,412,0.655
BN,20/08/1998,152.7,839600,158400,1040,566,26.2,396,
BN,15/10/1998,148.2,835800,162300,1013,473,22.2,336,0.574
BN,16/11/1998,146.0,850300,147900,602,645,30.8,446,0.515
BN,16/12/1998,147.0,834300,163400,1164,582,28.3,415,0.570
BN,15/01/1999,147.1,839300,158500,1164,545,31.4,416,0.524
BN,16/03/1999,146.7,837000,160500,1239,585,30.3,448,0.519
BN,23/03/1999,146.7,846200,151600,1106,537,28.6,421,0.510
BN,29/04/1999,145.2,852300,145500,1075,569,31.4,430,0.500
BN,03/06/1999,147.0,860600,137200,1075,552,30.2,412,0.496
BN,03/08/1999,145.5,852400,145300,1125,543,26.7,414,0.586
BN,16/09/1999,150.9,852700,145200,1081,509,24.7,404,0.535
BN,19/10/1999,147.3,850700,147200,1045,522,24.8,456,0.540
BN,25/11/1999,149.8,847800,149700,1220,578,24.8,468,0.469
BN,03/01/2000,149.4,854700,143100,1102,528,20.1,423,0.427
BN,24/03/2000,148.5,846800,151300,970,471,16.6,352,0.472
BN,11/04/2000,149.1,849900,148200,932,477,16.8,341,0.488
BN,17/05/2000,149.1,853600,144700,900,432,15.2,311,0.403
BN,15/06/2000,148.0,873000,125000,1100,466,16.7,331,0.434
BN,06/07/2000,144.8,846400,151600,1010,484,17.2,341,0.438
BN,01/08/2000,146.2,869000,129300,876,391,15.8,320,0.428
BN,22/08/2000,146.6,837900,160200,1063,511,18.3,274,0.473
