FUMAROLE,DATE,TEMP,H2O,CO2,H2S,N2,CH4,H2,CO
Pisciarelli,17/03/1999,95.6,845700,152800,675,469,15.8,252,0.037
Pisciarelli,29/04/1999,93.5,865800,132900,575,461,16.5,222,0.099
Pisciarelli,03/06/1999,96.9,869400,129100,604,507,19,256,0.063
Pisciarelli,23/08/2000,96,849300,149400,599,443,15,166,0.078
Pisciarelli,20/11/2000,96,767100,230900,909,,21.5,336,0.093
Pisciarelli,21/12/2000,96.2,809800,188600,696,518,17.5,294,0.048
Pisciarelli,25/01/2001,95.8,838300,160300,605,428,14.2,239,0.103
Pisciarelli,07/03/2001,,853600,145100,608,371,11.2,184,0.041
Pisciarelli,27/05/2002,105.6,883100,115900,517,262,9.1,137,0.059
Pisciarelli,15/07/2002,106.9,847200,149700,657,,12.6,198,0.094
Pisciarelli,24/09/2002,96,842900,155600,703,415,14.4,238,0.101
Pisciarelli,19/11/2002,96,851800,146800,606,380,12.4,206,0.11
Pisciarelli,17/01/2003,94.7,860600,138000,642,424,14.5,241,0.035
Pisciarelli,25/02/2003,97.1,862500,136100,600,417,14.2,223,0.034
Pisciarelli,19/03/2003,96,827300,171200,724,428,15.4,243,0.102
Pisciarelli,14/04/2003,94.8,859900,138800,584,412,13.5,224,0.069
Pisciarelli,24/06/2003,95.2,870000,128700,567,384,12.3,209,0.147
Pisciarelli,06/02/2004,94.3,847100,151500,632,428,13,246,0.028
Pisciarelli,29/03/2004,96,852400,146300,467,427,12.7,226,0.061
Pisciarelli,31/05/2004,95.5,851100,147500,619,472,14,258,0.11
Pisciarelli,18/06/2004,96.6,844600,154000,647,433,12.8,232,0.09
Pisciarelli,21/10/2004,96.2,849100,149600,522,419,13.2,238,0.145
Pisciarelli,22/03/2005,94.5,849600,149000,585,425,13.5,244,0.118
Pisciarelli,28/04/2005,90.5,853300,145300,595,427,13.9,239,0.064
Pisciarelli,13/06/2005,98.8,850000,148800,468,401,13.2,239,0.1
Pisciarelli,13/07/2005,98.5,853300,145500,531,370,11.7,216,0.066
Pisciarelli,02/08/2005,96,860800,137900,559,415,12.9,236,0.076
Pisciarelli,22/09/2005,98,851100,147500,591,395,12.8,224,0.065
Pisciarelli,12/01/2006,97.4,863700,135100,577,386,12.4,225,0.048
Pisciarelli,24/04/2006,95.3,851500,147200,591,432,12.9,241,0.081
Pisciarelli,22/05/2006,99.5,851500,147300,564,407,11.5,235,0.118
