DATE,VT,DEF
01/01/1982,0,0
01/02/1982,0,
01/03/1982,13,
01/04/1982,0,
01/05/1982,0,
01/06/1982,0,
01/07/1982,0,
01/08/1982,0,
01/09/1982,0,
01/10/1982,0,
01/11/1982,12,
01/12/1982,6,
01/01/1983,14,34.4
01/02/1983,18,
01/03/1983,84,
01/04/1983,156,
01/05/1983,257,
01/06/1983,539,63.5
01/07/1983,409,
01/08/1983,567,
01/09/1983,1083,86.350
01/10/1983,883,
01/11/1983,622,
01/12/1983,642,109.650
01/01/1984,995,
01/02/1984,1206,
01/03/1984,1109,141.450
01/04/1984,986,
01/05/1984,642,
01/06/1984,536,158.150
01/07/1984,1058,
01/08/1984,1128,
01/09/1984,902,
01/10/1984,295,174.950
01/11/1984,813,
01/12/1984,145,
01/01/1985,0,178.650
01/02/1985,0,
01/03/1985,0,175.750
01/04/1985,0,
01/05/1985,0,
01/06/1985,0,
01/07/1985,0,170.550
01/08/1985,0,
01/09/1985,0,
01/10/1985,0,
01/11/1985,0,164.050
01/12/1985,0,
01/01/1986,0,
01/02/1986,0,
01/03/1986,0,
01/04/1986,0,158.100
01/05/1986,0,
01/06/1986,0,
01/07/1986,0,
01/08/1986,0,
01/09/1986,0,
01/10/1986,0,150.850
01/11/1986,1,
01/12/1986,0,
01/01/1987,0,
01/02/1987,0,
01/03/1987,0,
01/04/1987,50,
01/05/1987,0,
01/06/1987,0,142.550
01/07/1987,0,
01/08/1987,0,
01/09/1987,0,
01/10/1987,0,
01/11/1987,26,
01/12/1987,0,
01/01/1988,0,
01/02/1988,0,
01/03/1988,4,
01/04/1988,7,
01/05/1988,1,
01/06/1988,3,132.200
01/07/1988,0,
01/08/1988,0,
01/09/1988,3,
01/10/1988,4,
01/11/1988,17,
01/12/1988,0,127.850
01/01/1989,0,
01/02/1989,0,
01/03/1989,0,
01/04/1989,91,
01/05/1989,33,
01/06/1989,174,135.150
01/07/1989,0,134.700
01/08/1989,0,
01/09/1989,0,133.300
01/10/1989,0,
01/11/1989,0,
01/12/1989,0,129.950
01/01/1990,0,
01/02/1990,0,
01/03/1990,0,
01/04/1990,0,
01/05/1990,0,
01/06/1990,0,127.850
01/07/1990,0,
01/08/1990,0,
01/09/1990,0,
01/10/1990,0,
01/11/1990,0,
01/12/1990,0,124.550
01/01/1991,0,
01/02/1991,0,
01/03/1991,0,
01/04/1991,0,
01/05/1991,0,
01/06/1991,0,
01/07/1991,0,120.550
01/08/1991,0,
01/09/1991,0,
01/10/1991,0,
01/11/1991,0,
01/12/1991,0,
01/01/1992,0,
01/02/1992,0,
01/03/1992,0,
01/04/1992,0,
01/05/1992,0,
01/06/1992,0,116.050
01/07/1992,0,
01/08/1992,0,
01/09/1992,0,
01/10/1992,0,
01/11/1992,0,
01/12/1992,0,114.300
01/01/1993,0,
01/02/1993,0,
01/03/1993,0,
01/04/1993,0,
01/05/1993,0,
01/06/1993,37,
01/07/1993,0,
01/08/1993,0,
01/09/1993,0,
01/10/1993,0,
01/11/1993,0,
01/12/1993,0,
01/01/1994,0,112.500
01/02/1994,0,
01/03/1994,0,
01/04/1994,0,113.300
01/05/1994,0,113.600
01/06/1994,0,
01/07/1994,0,113.150
01/08/1994,106,
01/09/1994,0,113.150
01/10/1994,0,
01/11/1994,0,
01/12/1994,0,110.600
01/01/1995,0,
01/02/1995,0,
01/03/1995,0,109.250
01/04/1995,0,
01/05/1995,0,
01/06/1995,0,
01/07/1995,0,107.350
01/08/1995,0,
01/09/1995,0,
01/10/1995,0,
01/11/1995,0,105.200
01/12/1995,0,
01/01/1996,0,
01/02/1996,0,
01/03/1996,0,103.300
01/04/1996,0,
01/05/1996,0,
01/06/1996,0,
01/07/1996,0,
01/08/1996,0,
01/09/1996,0,
01/10/1996,0,
01/11/1996,0,
01/12/1996,0,103.050
01/01/1997,0,102.300
01/02/1997,0,
01/03/1997,0,
01/04/1997,0,
01/05/1997,0,
01/06/1997,0,
01/07/1997,0,
01/08/1997,0,
01/09/1997,0,98.600
01/10/1997,0,
01/11/1997,0,
01/12/1997,0,
01/01/1998,0,
01/02/1998,0,96.850
01/03/1998,0,
01/04/1998,0,
01/05/1998,0,
01/06/1998,0,
01/07/1998,0,
01/08/1998,0,
01/09/1998,0,
01/10/1998,0,93.550
01/11/1998,0,
01/12/1998,0,
01/01/1999,0,
01/02/1999,0,
01/03/1999,0,91.300
01/04/1999,0,
01/05/1999,0,
01/06/1999,0,
01/07/1999,0,
01/08/1999,0,
01/09/1999,0,
01/10/1999,0,89.850
01/11/1999,0,
01/12/1999,0,
01/01/2000,0,
01/02/2000,0,
01/03/2000,0,
01/04/2000,0,
01/05/2000,0,91.050
01/06/2000,0,91.050
01/07/2000,0,92.550
01/08/2000,90,93.750
01/09/2000,0,93.850
01/10/2000,0,94.150
01/11/2000,0,93.950
01/12/2000,0,93.050
01/01/2001,0,92.150
01/02/2001,1,91.850
01/03/2001,0,91.150
01/04/2001,0,90.750
01/05/2001,0,90.350
01/06/2001,0,90.050
01/07/2001,0,89.950
01/08/2001,1,90.150
01/09/2001,0,89.750
01/10/2001,0,89.150
01/11/2001,0,88.650
01/12/2001,1,88.450
01/01/2002,0,88.100
01/02/2002,0,87.750
01/03/2002,0,87.150
01/04/2002,0,86.950
01/05/2002,0,86.750
01/06/2002,3,86.950
01/07/2002,0,87.550
01/08/2002,0,87.650
01/09/2002,0,87.050
01/10/2002,1,86.550
01/11/2002,0,86.550
01/12/2002,1,86.550
01/01/2003,1,87.150
01/02/2003,1,87.450
01/03/2003,1,86.850
01/04/2003,0,86.950
01/05/2003,0,87.150
01/06/2003,0,87.250
01/07/2003,0,87.150
01/08/2003,0,87.750
01/09/2003,0,87.250
01/10/2003,0,87.250
01/11/2003,1,86.650
01/12/2003,0,86.850
01/01/2004,0,86.650
01/02/2004,0,86.550
01/03/2004,0,86.650
01/04/2004,0,86.550
01/05/2004,0,86.550
01/06/2004,1,86.550
01/07/2004,0,86.550
01/08/2004,0,86.550
01/09/2004,0,86.350
01/10/2004,0,86.350
01/11/2004,0,86.650
01/12/2004,0,86.550
01/01/2005,0,86.350
01/02/2005,0,86.350
01/03/2005,4,86.350
01/04/2005,0,86.450
01/05/2005,1,86.450
01/06/2005,1,86.850
01/07/2005,0,86.750
01/08/2005,1,86.750
01/09/2005,1,86.850
01/10/2005,86,86.650
01/11/2005,1,86.850
01/12/2005,0,87.250
01/01/2006,1,87.250
01/02/2006,2,87.650
01/03/2006,1,87.850
01/04/2006,3,88.350
01/05/2006,1,88.550
01/06/2006,0,88.750
01/07/2006,0,88.950
01/08/2006,1,89.350
01/09/2006,4,90.350
01/10/2006,152,90.450
01/11/2006,1,91.050
01/12/2006,8,90.750
01/01/2007,0,91.050
01/02/2007,1,90.750
01/03/2007,0,90.650
01/04/2007,0,90.450
01/05/2007,0,90.150
01/06/2007,0,89.650
01/07/2007,0,89.650
01/08/2007,0,89.350
01/09/2007,0,89.150
01/10/2007,0,88.750
01/11/2007,0,88.950
01/12/2007,0,89.050
01/01/2008,52,89.550
01/02/2008,6,89.550
01/03/2008,0,89.650
01/04/2008,0,89.350
01/05/2008,0,89.350
01/06/2008,0,89.650
01/07/2008,0,89.550
01/08/2008,0,89.750
01/09/2008,0,89.750
01/10/2008,3,89.950
01/11/2008,1,90.050
01/12/2008,0,90.350
01/01/2009,173,90.650
01/02/2009,1,90.150
01/03/2009,0,90.750
01/04/2009,0,90.950
01/05/2009,15,90.950
01/06/2009,2,91.450
01/07/2009,2,91.750
01/08/2009,0,91.650
01/09/2009,0,91.650
01/10/2009,0,91.550
01/11/2009,0,91.450
01/12/2009,0,91.250
01/01/2010,3,91.550
01/02/2010,0,91.350
01/03/2010,141,91.350
01/04/2010,0,91.150
01/05/2010,0,91.250
01/06/2010,0,91.350
01/07/2010,26,91.850
01/08/2010,1,92.450
01/09/2010,0,92.650
01/10/2010,1,92.650
01/11/2010,1,92.950
01/12/2010,1,93.350
